O*NET-SOC Code_x,Title,1-5 Years,10 Years or More,6-9 Years,<1 Year,Missing,Domain Source_x,O*NET-SOC Code_y,Job Zone,Date,Domain Source_y,Avg_Experience_Years
53-7031.00,Dredge Operators,24.7,53.1,12.3,9.9,0.0,Incumbent,53-7031.00,2,06/2008,Analyst,10.863000000000001
17-3013.00,Mechanical Drafters,23.5,53.1,14.8,8.6,0.0,Incumbent,17-3013.00,3,07/2017,Analyst,11.033000000000001
47-4051.00,Highway Maintenance Workers,21.4,52.9,14.3,4.3,7.1,Incumbent,47-4051.00,2,07/2017,Analyst,10.872
29-2061.00,Licensed Practical and Licensed Vocational Nurses,23.5,52.9,11.8,8.8,2.9,Incumbent,29-2061.00,3,08/2021,Analyst,10.745000000000001
47-2151.00,Pipelayers,23.5,52.9,20.0,2.4,1.2,Incumbent,47-2151.00,2,07/2015,Analyst,11.41
39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",21.4,52.9,17.1,8.6,0.0,,39-4031.00,3,08/2024,Analyst,11.1315
31-9094.00,Medical Transcriptionists,23.5,52.9,9.8,11.8,2.0,Incumbent,31-9094.00,3,08/2021,Analyst,10.59
27-4011.00,Audio and Video Technicians,30.0,52.9,12.9,4.3,0.0,,27-4011.00,3,08/2018,Analyst,11.011000000000001
25-1052.00,"Chemistry Teachers, Postsecondary",27.5,52.9,15.7,3.9,0.0,Incumbent,25-1052.00,5,08/2019,Analyst,11.172
43-9081.00,Proofreaders and Copy Markers,30.2,52.8,9.4,7.5,0.0,Incumbent,43-9081.00,4,07/2016,Analyst,10.718499999999999
51-4062.00,"Patternmakers, Metal and Plastic",26.4,52.8,13.9,6.9,0.0,Incumbent,51-4062.00,3,07/2017,Analyst,10.983999999999998
49-9064.00,Watch and Clock Repairers,24.5,52.8,20.8,1.9,0.0,,49-9064.00,3,08/2018,Analyst,11.488499999999998
51-9162.00,Computer Numerically Controlled Tool Programmers,23.6,52.8,16.7,5.6,1.4,,51-9162.00,3,07/2016,Analyst,11.131499999999999
47-2111.00,Electricians,29.8,52.6,10.5,7.0,0.0,Incumbent,47-2111.00,3,08/2022,Analyst,10.7635
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",30.5,52.4,7.3,9.8,0.0,Incumbent,51-9196.00,2,08/2018,Analyst,10.4925
51-2051.00,Fiberglass Laminators and Fabricators,18.5,52.3,6.2,23.1,0.0,Incumbent,51-2051.00,2,08/2020,Analyst,10.088499999999998
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",18.3,52.3,20.2,7.3,1.8,Incumbent,25-1061.00,5,08/2019,Analyst,11.193499999999998
49-9045.00,"Refractory Materials Repairers, Except Brickmasons",22.8,52.2,16.3,8.7,0.0,Incumbent,49-9045.00,2,06/2007,Analyst,10.987
23-2093.00,"Title Examiners, Abstractors, and Searchers",22.9,52.1,16.7,6.3,2.1,Incumbent,23-2093.00,2,07/2017,Analyst,10.995000000000001
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",37.3,52.0,5.3,4.0,1.3,Incumbent,53-2011.00,4,08/2021,Analyst,10.429499999999999
49-3022.00,Automotive Glass Installers and Repairers,30.0,52.0,10.0,6.0,2.0,Incumbent,49-3022.00,2,07/2014,Analyst,10.62
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",29.6,51.9,13.0,5.6,0.0,Incumbent,37-1012.00,3,08/2021,Analyst,10.844000000000001
49-2097.00,Audiovisual Equipment Installers and Repairers,25.0,51.8,16.1,7.1,0.0,,49-2097.00,3,08/2023,Analyst,10.959999999999999
17-2199.05,Mechatronics Engineers,34.5,51.7,6.9,5.2,1.7,Incumbent,17-2199.05,4,08/2022,Analyst,10.4365
37-3013.00,Tree Trimmers and Pruners,26.7,51.7,10.0,11.7,0.0,Incumbent,37-3013.00,2,08/2018,Analyst,10.498500000000002
27-3042.00,Technical Writers,27.0,51.7,12.4,9.0,0.0,Incumbent,27-3042.00,4,07/2012,Analyst,10.698000000000002
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",18.6,51.7,25.5,3.4,0.7,Incumbent,25-1121.00,5,08/2019,Analyst,11.531500000000001
27-3091.00,Interpreters and Translators,21.0,51.6,17.7,8.1,1.6,Incumbent,27-3091.00,4,08/2021,Analyst,10.947000000000001
19-4099.03,Remote Sensing Technicians,32.4,51.5,13.2,2.9,0.0,Incumbent,19-4099.03,4,07/2012,Analyst,10.8635
49-9041.00,Industrial Machinery Mechanics,21.2,51.5,18.2,7.6,1.5,Incumbent,49-9041.00,3,08/2021,Analyst,10.976
39-5011.00,Barbers,25.8,51.5,6.1,15.2,1.5,Incumbent,39-5011.00,3,08/2018,Analyst,10.1235
11-9071.00,Gambling Managers,28.9,51.3,9.2,6.6,3.9,,11-9071.00,2,08/2023,Analyst,10.402999999999999
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",24.4,51.2,15.9,6.1,2.4,Incumbent,13-1022.00,3,07/2015,Analyst,10.818000000000001
17-3012.00,Electrical and Electronics Drafters,30.5,51.2,13.8,3.9,0.5,,17-3012.00,3,08/2022,Analyst,10.8115
53-5022.00,Motorboat Operators,28.6,51.0,18.4,2.0,0.0,Incumbent,53-5022.00,2,08/2023,Analyst,11.102
17-3022.00,Civil Engineering Technologists and Technicians,20.0,51.0,25.0,4.0,0.0,,17-3022.00,3,07/2017,Analyst,11.415
47-2141.00,"Painters, Construction and Maintenance",22.3,50.9,18.8,5.4,2.7,Incumbent,47-2141.00,2,07/2014,Analyst,10.947
27-4032.00,Film and Video Editors,29.8,50.9,8.8,10.5,0.0,Incumbent,27-4032.00,4,08/2020,Analyst,10.347499999999998
25-1082.00,"Library Science Teachers, Postsecondary",28.1,50.9,12.3,7.0,1.8,Incumbent,25-1082.00,5,08/2019,Analyst,10.5765
25-1067.00,"Sociology Teachers, Postsecondary",24.5,50.9,15.1,7.5,1.9,Incumbent,25-1067.00,5,08/2019,Analyst,10.708999999999998
11-3031.00,Financial Managers,24.6,50.8,19.7,3.3,1.6,,11-3031.00,4,08/2022,Analyst,11.065
53-1042.01,Recycling Coordinators,37.3,50.8,8.5,3.4,0.0,Incumbent,53-1042.01,2,07/2014,Analyst,10.494499999999999
51-7011.00,Cabinetmakers and Bench Carpenters,23.0,50.8,23.0,0.0,3.3,Incumbent,51-7011.00,2,07/2015,Analyst,11.280999999999999
25-1081.00,"Education Teachers, Postsecondary",24.6,50.8,19.7,4.9,0.0,Incumbent,25-1081.00,5,08/2019,Analyst,11.072999999999999
27-2012.03,Media Programming Directors,37.3,50.8,5.1,6.8,0.0,,27-2012.03,4,08/2023,Analyst,10.222499999999998
49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,30.1,50.6,12.0,6.0,1.2,Incumbent,49-3031.00,3,08/2022,Analyst,10.555
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",33.3,50.6,14.8,1.2,0.0,,47-5022.00,2,07/2013,Analyst,10.865
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",24.7,50.6,15.6,9.1,0.0,Incumbent,23-1021.00,5,08/2020,Analyst,10.714500000000001
25-3021.00,Self-Enrichment Teachers,23.5,50.6,13.6,11.1,1.2,,25-3021.00,3,08/2019,Analyst,10.5185
51-9195.03,"Stone Cutters and Carvers, Manufacturing",24.7,50.5,15.1,9.7,0.0,Incumbent,51-9195.03,2,07/2015,Analyst,10.658000000000001
51-9161.00,Computer Numerically Controlled Tool Operators,30.7,50.5,13.9,5.0,0.0,,51-9161.00,2,08/2023,Analyst,10.7125
19-2031.00,Chemists,30.6,50.0,14.5,4.8,0.0,Incumbent,19-2031.00,4,08/2023,Analyst,10.6745
43-9031.00,Desktop Publishers,24.2,50.0,16.7,7.6,1.5,Incumbent,43-9031.00,3,08/2021,Analyst,10.6835
27-2011.00,Actors,28.0,50.0,8.0,14.0,0.0,Incumbent,27-2011.00,2,07/2017,Analyst,10.09
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",19.1,50.0,25.0,5.9,0.0,Incumbent,49-2011.00,3,07/2015,Analyst,11.227500000000001
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",20.5,50.0,20.5,7.7,1.3,Incumbent,51-9051.00,2,07/2015,Analyst,10.896
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",27.6,50.0,15.5,6.9,0.0,Incumbent,51-4035.00,2,08/2023,Analyst,10.68
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",26.0,50.0,12.5,9.6,1.9,Incumbent,51-4072.00,2,07/2016,Analyst,10.3905
43-3061.00,Procurement Clerks,24.1,50.0,10.3,13.8,1.7,Incumbent,43-3061.00,2,08/2022,Analyst,10.1675
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",23.8,50.0,18.3,5.6,2.4,Incumbent,25-1062.00,5,08/2019,Analyst,10.7975
51-9083.00,Ophthalmic Laboratory Technicians,31.5,50.0,13.0,5.4,0.0,Incumbent,51-9083.00,2,07/2015,Analyst,10.577
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",26.2,49.8,18.4,5.6,0.0,,41-3031.00,4,08/2022,Analyst,10.844
49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",25.3,49.5,13.7,11.6,0.0,Incumbent,49-9012.00,3,07/2017,Analyst,10.3965
33-1011.00,First-Line Supervisors of Correctional Officers,27.4,49.5,20.0,3.2,0.0,Incumbent,33-1011.00,3,08/2020,Analyst,10.953
33-2011.00,Firefighters,24.5,49.4,20.3,5.0,0.8,,33-2011.00,3,08/2022,Analyst,10.8835
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",37.9,49.4,5.7,6.9,0.0,Incumbent,25-1193.00,5,08/2019,Analyst,10.054
23-2011.00,Paralegals and Legal Assistants,20.9,49.3,13.4,16.4,0.0,Incumbent,23-2011.00,3,08/2024,Analyst,10.229
33-2021.00,Fire Inspectors and Investigators,23.5,49.3,18.4,8.8,0.0,,33-2021.00,3,08/2022,Analyst,10.693999999999999
43-5061.00,"Production, Planning, and Expediting Clerks",27.4,49.3,13.7,8.2,1.4,Incumbent,43-5061.00,2,08/2022,Analyst,10.408499999999998
41-3021.00,Insurance Sales Agents,23.9,49.3,16.4,7.5,3.0,Incumbent,41-3021.00,4,08/2018,Analyst,10.529499999999999
47-2181.00,Roofers,29.0,49.3,15.9,4.3,1.4,Incumbent,47-2181.00,2,07/2015,Analyst,10.623999999999999
27-1014.00,Special Effects Artists and Animators,38.1,49.2,9.5,3.2,0.0,,27-1014.00,4,08/2019,Analyst,10.3305
45-4011.00,Forest and Conservation Workers,24.6,49.2,16.9,9.2,0.0,Incumbent,45-4011.00,2,08/2023,Analyst,10.5845
47-4031.00,Fence Erectors,26.2,49.2,14.8,9.8,0.0,Incumbent,47-4031.00,2,08/2019,Analyst,10.457
43-3041.00,Gambling Cage Workers,23.8,49.2,14.3,12.7,0.0,,43-3041.00,2,08/2023,Analyst,10.357000000000001
41-9021.00,Real Estate Brokers,28.6,49.2,15.9,3.2,3.2,Incumbent,41-9021.00,4,07/2015,Analyst,10.589500000000001
51-8012.00,Power Distributors and Dispatchers,21.1,49.1,28.1,1.8,0.0,Incumbent,51-8012.00,3,08/2024,Analyst,11.377500000000001
51-9022.00,"Grinding and Polishing Workers, Hand",30.2,49.1,11.3,7.5,1.9,Incumbent,51-9022.00,2,08/2023,Analyst,10.251000000000001
41-1011.00,First-Line Supervisors of Retail Sales Workers,30.8,48.7,10.3,9.0,1.3,Incumbent,41-1011.00,2,08/2018,Analyst,10.123500000000002
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",24.3,48.6,15.7,8.6,2.9,Incumbent,25-2022.00,4,08/2024,Analyst,10.368500000000001
33-3031.00,Fish and Game Wardens,29.1,48.5,18.4,3.9,0.0,Incumbent,33-3031.00,4,07/2014,Analyst,10.7015
27-3041.00,Editors,27.4,48.4,14.5,9.7,0.0,Incumbent,27-3041.00,4,07/2017,Analyst,10.331
43-4131.00,Loan Interviewers and Clerks,27.4,48.4,14.5,8.1,1.6,Incumbent,43-4131.00,3,07/2017,Analyst,10.323
51-4121.00,"Welders, Cutters, Solderers, and Brazers",31.7,48.4,16.7,3.2,0.0,,51-4121.00,2,08/2022,Analyst,10.6145
39-7012.00,Travel Guides,22.4,48.3,15.5,12.1,1.7,Incumbent,39-7012.00,2,08/2022,Analyst,10.261
17-2072.00,"Electronics Engineers, Except Computer",36.0,48.0,6.0,10.0,0.0,Incumbent,17-2072.00,4,08/2022,Analyst,9.8
15-1244.00,Network and Computer Systems Administrators,26.8,48.0,16.3,8.9,0.0,Incumbent,15-1244.00,4,07/2017,Analyst,10.394
53-6021.00,Parking Attendants,24.0,48.0,13.3,13.3,1.3,,53-6021.00,2,07/2015,Analyst,10.077
51-2031.00,Engine and Other Machine Assemblers,30.4,48.0,15.7,4.9,1.0,Incumbent,51-2031.00,2,07/2014,Analyst,10.431
51-8013.03,Biomass Plant Technicians,29.2,47.9,16.7,4.9,1.4,Incumbent,51-8013.03,2,08/2020,Analyst,10.463
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",25.4,47.9,21.1,5.6,0.0,Incumbent,25-1041.00,5,08/2019,Analyst,10.7265
19-4031.00,Chemical Technicians,25.0,47.9,12.5,14.6,0.0,Incumbent,19-4031.00,3,08/2021,Analyst,10.0285
27-2012.00,Producers and Directors,31.5,47.7,13.5,5.4,1.8,,27-2012.00,4,08/2022,Analyst,10.228500000000002
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",33.3,47.6,12.7,4.8,1.6,Incumbent,49-2022.00,3,07/2017,Analyst,10.1945
43-5021.00,Couriers and Messengers,27.0,47.6,14.3,11.1,0.0,Incumbent,43-5021.00,2,07/2016,Analyst,10.173
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",21.0,47.6,20.0,10.5,1.0,,25-1192.00,5,08/2019,Analyst,10.4745
43-6011.00,Executive Secretaries and Executive Administrative Assistants,31.9,47.5,12.1,7.8,0.7,Incumbent,43-6011.00,3,07/2017,Analyst,10.099499999999999
29-1215.00,Family Medicine Physicians,30.5,47.5,18.6,3.4,0.0,,29-1215.00,5,08/2020,Analyst,10.588
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",25.4,47.5,22.0,5.1,0.0,Incumbent,51-7041.00,2,07/2013,Analyst,10.7325
51-8013.00,Power Plant Operators,26.3,47.4,17.5,8.8,0.0,Incumbent,51-8013.00,2,08/2024,Analyst,10.3785
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",33.3,47.4,14.0,5.3,0.0,Incumbent,53-6051.07,2,07/2015,Analyst,10.2735
11-3021.00,Computer and Information Systems Managers,38.2,47.4,13.2,1.3,0.0,Incumbent,11-3021.00,4,07/2016,Analyst,10.3325
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",26.7,47.3,19.8,5.3,0.8,Incumbent,51-4031.00,2,07/2015,Analyst,10.551499999999999
29-1223.00,Psychiatrists,26.9,47.2,14.8,11.1,0.0,Incumbent,29-1223.00,5,07/2014,Analyst,10.1445
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,30.0,47.1,14.3,8.6,0.0,Incumbent,47-4071.00,1,07/2017,Analyst,10.1655
49-2098.00,Security and Fire Alarm Systems Installers,29.4,47.1,20.6,2.9,0.0,Incumbent,49-2098.00,3,07/2015,Analyst,10.6545
33-1012.00,First-Line Supervisors of Police and Detectives,29.9,47.1,13.8,8.0,1.1,Incumbent,33-1012.00,2,08/2024,Analyst,10.116999999999999
43-6013.00,Medical Secretaries and Administrative Assistants,23.5,47.1,16.5,9.4,3.5,,43-6013.00,2,08/2021,Analyst,10.1615
41-3011.00,Advertising Sales Agents,32.2,47.1,6.9,13.8,0.0,Incumbent,41-3011.00,4,08/2018,Analyst,9.628499999999999
11-3031.03,Investment Fund Managers,25.9,46.9,22.2,3.7,1.2,Incumbent,11-3031.03,5,07/2014,Analyst,10.6555
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,20.4,46.9,16.3,16.3,0.0,,17-3021.00,3,08/2019,Analyst,10.052
43-3051.00,Payroll and Timekeeping Clerks,29.7,46.9,10.9,10.9,1.6,Incumbent,43-3051.00,3,08/2022,Analyst,9.845
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",33.9,46.8,12.9,6.5,0.0,Incumbent,51-6091.00,2,08/2019,Analyst,10.102
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",31.6,46.8,19.0,2.5,0.0,Incumbent,49-2095.00,3,07/2017,Analyst,10.5315
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",27.6,46.7,16.2,7.6,1.9,Incumbent,51-9041.00,2,07/2016,Analyst,10.182
51-2041.00,Structural Metal Fabricators and Fitters,33.3,46.7,12.0,8.0,0.0,Incumbent,51-2041.00,2,08/2024,Analyst,9.998000000000001
11-3051.00,Industrial Production Managers,29.3,46.6,12.9,8.6,2.6,Incumbent,11-3051.00,4,08/2021,Analyst,9.9405
17-2199.06,Microsystems Engineers,29.3,46.6,19.0,5.2,0.0,,17-2199.06,5,07/2016,Analyst,10.442
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",28.0,46.6,13.6,11.0,0.8,Incumbent,49-1011.00,3,08/2021,Analyst,9.973
51-2023.00,Electromechanical Equipment Assemblers,29.0,46.4,17.4,7.2,0.0,Incumbent,51-2023.00,2,07/2017,Analyst,10.273
17-2071.00,Electrical Engineers,35.7,46.4,8.9,8.9,0.0,Incumbent,17-2071.00,4,08/2023,Analyst,9.76
49-9052.00,Telecommunications Line Installers and Repairers,38.9,46.3,8.4,4.2,2.1,Incumbent,49-9052.00,2,07/2015,Analyst,9.772999999999998
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,30.6,46.3,13.9,6.5,2.8,Incumbent,53-3032.00,2,08/2022,Analyst,10.002999999999998
11-3012.00,Administrative Services Managers,29.9,46.3,17.2,6.7,0.0,Incumbent,11-3012.00,3,07/2017,Analyst,10.263499999999999
51-9031.00,"Cutters and Trimmers, Hand",24.1,46.3,18.5,7.4,3.7,Incumbent,51-9031.00,1,08/2019,Analyst,10.203499999999998
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",34.3,46.3,9.0,6.0,4.5,Incumbent,51-6063.00,2,08/2023,Analyst,9.694999999999999
47-5012.00,"Rotary Drill Operators, Oil and Gas",34.9,46.2,12.3,6.6,0.0,Incumbent,47-5012.00,2,12/2005,Analyst,9.979500000000002
47-2073.00,Operating Engineers and Other Construction Equipment Operators,29.2,46.2,12.3,10.8,1.5,Incumbent,47-2073.00,2,08/2020,Analyst,9.829500000000001
29-9093.00,Surgical Assistants,26.9,46.2,21.8,5.1,0.0,Incumbent,29-9093.00,3,07/2015,Analyst,10.5395
43-5031.00,Public Safety Telecommunicators,28.9,46.1,17.1,7.9,0.0,,43-5031.00,2,08/2023,Analyst,10.197000000000001
29-1123.00,Physical Therapists,25.0,46.1,15.8,13.2,0.0,Incumbent,29-1123.00,5,08/2020,Analyst,9.996
39-3021.00,Motion Picture Projectionists,31.6,46.1,17.1,5.3,0.0,Incumbent,39-3021.00,2,08/2020,Analyst,10.265
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",32.0,46.0,11.0,10.0,1.0,Incumbent,51-2011.00,2,07/2015,Analyst,9.765
47-2031.00,Carpenters,26.2,45.9,14.8,7.4,5.7,,47-2031.00,2,08/2022,Analyst,9.884
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",39.3,45.9,8.2,6.6,0.0,Incumbent,13-2081.00,3,08/2022,Analyst,9.712
19-1023.00,Zoologists and Wildlife Biologists,24.6,45.9,23.0,6.6,0.0,Incumbent,19-1023.00,4,08/2023,Analyst,10.529
51-1011.00,First-Line Supervisors of Production and Operating Workers,29.6,45.9,17.3,6.1,1.0,Incumbent,51-1011.00,3,08/2020,Analyst,10.192
37-2021.00,Pest Control Workers,21.3,45.9,24.6,8.2,0.0,Incumbent,37-2021.00,2,07/2015,Analyst,10.574
53-6031.00,Automotive and Watercraft Service Attendants,30.6,45.9,11.8,11.8,0.0,Incumbent,53-6031.00,2,07/2016,Analyst,9.783
45-2011.00,Agricultural Inspectors,32.3,45.8,11.5,9.4,1.0,Incumbent,45-2011.00,2,07/2013,Analyst,9.779499999999999
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",31.7,45.8,13.3,7.5,1.7,Incumbent,51-9032.00,2,07/2016,Analyst,9.905
11-3013.00,Facilities Managers,32.3,45.8,16.7,3.1,2.1,,11-3013.00,3,08/2024,Analyst,10.189999999999998
53-3052.00,"Bus Drivers, Transit and Intercity",34.4,45.8,12.5,6.3,1.0,Incumbent,53-3052.00,2,08/2018,Analyst,9.911999999999999
29-1124.00,Radiation Therapists,31.1,45.6,17.5,5.8,0.0,Incumbent,29-1124.00,3,07/2013,Analyst,10.201500000000001
43-6012.00,Legal Secretaries and Administrative Assistants,38.6,45.6,5.3,10.5,0.0,,43-6012.00,3,08/2024,Analyst,9.413
33-3021.00,Detectives and Criminal Investigators,29.3,45.5,16.3,8.1,0.8,,33-3021.00,3,08/2022,Analyst,10.040000000000001
11-9199.02,Compliance Managers,26.0,45.5,22.1,6.5,0.0,Incumbent,11-9199.02,4,08/2019,Analyst,10.426
25-4022.00,Librarians and Media Collections Specialists,29.0,45.4,16.4,7.7,1.6,,25-4022.00,5,08/2022,Analyst,10.0205
33-3021.02,Police Identification and Records Officers,29.7,45.3,17.2,7.8,0.0,Incumbent,33-3021.02,3,08/2018,Analyst,10.092999999999998
51-9111.00,Packaging and Filling Machine Operators and Tenders,32.0,45.3,12.0,10.7,0.0,Incumbent,51-9111.00,2,07/2017,Analyst,9.734499999999999
39-6011.00,Baggage Porters and Bellhops,24.5,45.3,17.0,13.2,0.0,Incumbent,39-6011.00,2,08/2018,Analyst,9.947
51-4051.00,Metal-Refining Furnace Operators and Tenders,29.7,45.3,15.6,7.8,1.6,Incumbent,51-4051.00,2,08/2018,Analyst,9.956999999999999
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",32.3,45.2,11.3,9.7,1.6,Incumbent,49-2094.00,3,08/2021,Analyst,9.662
49-9071.00,"Maintenance and Repair Workers, General",28.6,45.2,17.3,8.3,0.6,Incumbent,49-9071.00,3,08/2021,Analyst,10.054000000000002
49-9062.00,Medical Equipment Repairers,27.4,45.2,19.2,8.2,0.0,Incumbent,49-9062.00,3,08/2023,Analyst,10.179
51-3023.00,Slaughterers and Meat Packers,31.4,45.1,13.7,9.8,0.0,Incumbent,51-3023.00,2,07/2017,Analyst,9.8225
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",27.8,44.9,17.1,8.9,1.3,,45-2092.00,1,08/2022,Analyst,9.965
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",35.8,44.8,13.4,4.5,1.5,Incumbent,39-5012.00,3,07/2016,Analyst,9.851499999999998
27-1011.00,Art Directors,34.5,44.8,8.6,6.9,5.2,Incumbent,27-1011.00,4,08/2023,Analyst,9.4165
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,34.5,44.8,13.8,6.9,0.0,Incumbent,41-1012.00,4,08/2020,Analyst,9.8585
41-2012.00,Gambling Change Persons and Booth Cashiers,25.3,44.8,12.6,17.2,0.0,,41-2012.00,2,08/2019,Analyst,9.531999999999998
25-1066.00,"Psychology Teachers, Postsecondary",29.3,44.6,16.3,7.6,2.2,Incumbent,25-1066.00,5,08/2019,Analyst,9.884500000000001
29-9099.01,Midwives,29.2,44.6,16.9,9.2,0.0,Incumbent,29-9099.01,5,08/2021,Analyst,9.9405
49-9092.00,Commercial Divers,33.8,44.6,10.8,10.8,0.0,Incumbent,49-9092.00,3,07/2015,Analyst,9.568000000000001
47-5041.00,Continuous Mining Machine Operators,28.4,44.6,23.0,4.1,0.0,Incumbent,47-5041.00,2,07/2016,Analyst,10.409500000000001
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",31.7,44.4,14.3,9.5,0.0,Incumbent,51-9061.00,2,08/2020,Analyst,9.761999999999999
53-2031.00,Flight Attendants,31.9,44.4,13.9,9.7,0.0,Incumbent,53-2031.00,2,08/2021,Analyst,9.735
43-9022.00,Word Processors and Typists,26.7,44.4,20.0,6.7,2.2,Incumbent,43-9022.00,2,07/2017,Analyst,10.0825
23-1023.00,"Judges, Magistrate Judges, and Magistrates",19.0,44.4,28.6,7.9,0.0,Incumbent,23-1023.00,5,08/2020,Analyst,10.5885
29-1051.00,Pharmacists,33.3,44.4,11.1,11.1,0.0,Incumbent,29-1051.00,5,08/2022,Analyst,9.546
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",35.2,44.3,11.4,6.8,2.3,Incumbent,41-4011.00,4,07/2014,Analyst,9.589999999999998
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",32.9,44.3,17.1,5.7,0.0,Incumbent,51-8093.00,2,08/2023,Analyst,9.999999999999998
43-5041.00,"Meter Readers, Utilities",20.5,44.3,19.3,13.6,2.3,Incumbent,43-5041.00,2,07/2016,Analyst,9.854499999999998
43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",35.8,44.2,11.6,8.4,0.0,Incumbent,43-5111.00,2,08/2018,Analyst,9.616000000000001
53-2012.00,Commercial Pilots,33.9,44.1,3.4,18.6,0.0,Incumbent,53-2012.00,3,08/2024,Analyst,8.896
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,35.3,44.1,17.6,0.0,2.9,Incumbent,37-1011.00,2,08/2020,Analyst,10.052000000000001
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",26.5,44.1,17.6,11.8,0.0,Incumbent,49-2096.00,3,07/2016,Analyst,9.847000000000001
17-2112.00,Industrial Engineers,40.5,44.0,10.7,4.8,0.0,Incumbent,17-2112.00,4,08/2020,Analyst,9.6285
25-4031.00,Library Technicians,28.0,44.0,17.0,10.0,1.0,Incumbent,25-4031.00,3,07/2017,Analyst,9.815000000000001
41-2022.00,Parts Salespersons,33.3,43.8,16.7,6.3,0.0,Incumbent,41-2022.00,2,08/2023,Analyst,9.895999999999999
53-7041.00,Hoist and Winch Operators,30.8,43.6,16.7,9.0,0.0,Incumbent,53-7041.00,2,12/2004,Analyst,9.800500000000001
29-2092.00,Hearing Aid Specialists,32.7,43.6,21.8,1.8,0.0,Incumbent,29-2092.00,3,08/2020,Analyst,10.255
51-8013.04,Hydroelectric Plant Technicians,27.1,43.5,21.2,7.1,1.2,,51-8013.04,3,08/2024,Analyst,10.045499999999999
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,30.2,43.4,15.1,11.3,0.0,Incumbent,49-3053.00,2,08/2018,Analyst,9.623999999999999
53-4041.00,Subway and Streetcar Operators,30.0,43.3,14.4,11.1,1.1,Incumbent,53-4041.00,2,08/2021,Analyst,9.5405
51-4052.00,"Pourers and Casters, Metal",35.4,43.1,15.4,4.6,1.5,Incumbent,51-4052.00,2,08/2024,Analyst,9.721
51-9123.00,"Painting, Coating, and Decorating Workers",29.3,43.1,17.2,8.6,1.7,Incumbent,51-9123.00,1,08/2019,Analyst,9.711
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",28.7,43.1,16.2,11.4,0.6,Incumbent,43-6014.00,2,08/2019,Analyst,9.622
